Detected m/z (primary)	RT Start	RT Apex	RT End	Charge States	Per-Charge Detected m/z	Num Charge States	Primary Charge	Monoisotopic Mass	Mono m/z (primary)	Summed Intensity	Cross-Charge Support	Num Members
449.76639	50.7955	50.9376	51.3975	4	z4:449.7664	1	4	1797.04316	450.26807	1.0083e8	1	1
464.77255	74.9375	75.1975	75.6945	4	z4:464.7726	1	4	1855.06110	464.77255	1.0083e8	1	1
545.25793	88.6958	88.9760	89.4708	3	z3:545.2579	1	3	1631.74862	544.92348	1.0082e8	1	1
552.25488	140.2202	140.4779	140.9698	3	z3:552.2549	1	3	1653.74282	552.25488	1.0082e8	1	1
801.88568	54.4520	54.6485	54.8612	2	z2:801.8857	1	2	1601.75681	801.88568	1.0082e8	1	1
749.44946	125.9391	126.2285	126.5822	2	z2:749.4495	1	2	1496.88437	749.44946	1.0081e8	1	1
522.29077	46.9008	47.1628	47.3257	3	z3:522.2908	1	3	1563.85049	522.29077	1.0081e8	1	1
633.83032	58.5961	58.9521	59.4396	2	z2:633.8303	1	2	1265.64609	633.83032	1.0080e8	1	1
568.80707	47.7196	47.9041	48.1618	2	z2:568.8071	1	2	1135.59958	568.80707	1.0079e8	1	1
482.25272	44.7815	45.0711	45.2283	2	z2:482.2527	1	2	962.49088	482.25272	1.0079e8	1	1
590.91235	24.6672	24.9231	25.4198	3	z3:590.9124	1	3	1769.71523	590.91235	1.0079e8	1	1
756.66687	129.5554	129.7237	130.2169	3;4	z3:756.6669;z4:568.2537	2	3	2266.97883	756.66689	1.0079e8	2	2
