mono_mass	mz	charge	rt	intensity	intensity_decile	category	nearest_rtmatch_rt_delta_min	nearest_rtmatch_charge	closest_by_mass_ppm	closest_by_mass_rt_delta_min	closest_by_mass_charge
1006.54475	504.28165	2	35.9175	4.5748e+05	1	rt_miss	4.2120	2	16.09	59.9335	2
3956.94257	990.74719	4	91.3260	4.6206e+05	1	rt_miss	0.4556	4;5	-14.59	46.3645	5
2034.01572	679.34937	3	123.3275	4.6392e+05	1	rt_miss	3.2547	2;3	-18.25	-38.7509	3
2065.00761	689.67902	3	26.3306	4.6508e+05	1	rt_miss	-2.6267	2;3	-18.81	75.8656	3
1896.99453	633.67383	3	104.6314	4.6597e+05	1	rt_miss	0.8828	2	18.72	-48.5647	3
1103.60088	552.80957	2	60.0444	4.7160e+05	1	rt_miss	-5.9936	2	-16.11	-15.6907	2
1142.62704	572.32172	2	105.5241	4.7321e+05	1	rt_miss	-0.3977	2	-19.54	-73.2035	2
1649.91007	550.97699	3	85.1352	4.7440e+05	1	rt_miss	-0.3044	3	18.40	15.7405	2;3
1308.70510	437.24210	3	31.1638	4.7489e+05	1	rt_miss	1.4452	3	18.58	55.0562	2;3
1041.64340	521.82971	2	107.9127	4.7539e+05	1	rt_miss	-0.4839	2	11.72	-50.6784	2
1769.91594	590.98004	3	31.8843	4.7613e+05	1	rt_miss	-3.2865	2	18.40	12.2952	3
1344.70061	673.35950	2	89.0488	4.7709e+05	1	rt_miss	-0.4162	2	-19.66	-42.0762	2
3380.80924	846.46350	4	139.9059	4.7925e+05	1	rt_miss	2.5506	3;4	13.61	-71.0756	3
1316.69359	659.35449	2	69.5811	4.7937e+05	1	rt_miss	-1.4966	2	18.62	-31.8760	2
1882.00226	628.67725	3	117.7965	4.7954e+05	1	rt_miss	0.4167	3	-16.89	-13.9996	3
1865.87640	933.94891	2	89.5264	4.7967e+05	1	rt_miss	0.5081	2	18.28	-7.3915	2
2336.13248	780.05450	3	121.6927	4.8029e+05	1	rt_miss	6.0330	3	-18.87	-25.1330	4
1168.70673	585.36151	2	141.6652	4.8281e+05	1	rt_miss	-1.0957	2	5.18	-29.7617	1;2
1636.76928	546.59869	3	56.7169	4.8292e+05	1	rt_miss	-1.4913	4	-17.87	-5.3565	2;3
